date,id,pdf,pm,release_type,subjects,title
2014-08-24,23765,,"Abbott, Tony",Media Release,,A message from the Prime Minister - Building a stronger economy
1968-03-14,1797,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00001797.pdf,"Gorton, John",Statement in Parliament,,"STATEMENT BY THE PRIME MINISTER THE RT.HON. JOHN GORTON, MP, IN THE HOUSE OF REPRESENTITIVES ON 14 MARCH 1968 - MEMORIAL SERVICE FOR LORD BRUCE."
2016-11-17,40598,,"Turnbull, Malcolm",Transcript,,"Press Conference at the launch of the Veterans’ Employment Initiative with the Minister for Veterans’ Affairs, the Hon. Dan Tehan MP"
1978-09-27,4837,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00004837.pdf,"Fraser, Malcolm",Media Release,,GRANT TO WORLD WILDLIFE FUND AUSTRALIA
2004-03-24,21172,,"Howard, John",Interview,,"Doorstop Interview Great Hall, Parliament House, Canberra"
1974-03-07,3180,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00003180_0.pdf,"Whitlam, Gough",Statement in Parliament,,PRIME MINISTER'S VISIT TO SOUTH EAST ASIA
2009-11-09,16906,,"Rudd, Kevin",Interview,,Prime Minister Minister for Health Member for Macquarie Transcript of joint doorstop interview Bathurst
2018-06-29,41686,,"Turnbull, Malcolm",Transcript,Naval Shipbuilding Industry; Tax relief,"Interview with David Penberthy and Will Goodings, 5AA Adelaide"
1976-07-21,4189,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00004189.pdf,"Fraser, Malcolm",Media Release,,SENATOR COTTON TO LEAD SOUTH PACIFIC FORUM DELEGATION
2011-08-25,18095,,"Gillard, Julia",Media Release,,$475 million more for regional health facilities
2005-02-11,21614,,"Howard, John",Interview,,Interview with Neil Mitchell Radio 3AW
1980-03-17,5297,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00005297.pdf,"Fraser, Malcolm",Interview,,"PRIME MINISTER INTERVIEWED BY PETER HARVEY, CHANNEL NINE CANBERRA"
1986-06-06,6946,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00006946.pdf,"Hawke, Robert",Media Release,,FOR MEDIA 6 JUNE 1986
2013-09-23,23003,,"Abbott, Tony",Media Release,,Visit to Australia by His Royal Highness Prince Henry of Wales
1989-02-03,7480,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00007480.pdf,"Hawke, Robert",Press Conference,,TRANSCRIPT OF PRESS CONFERENCE ORIENTAL HOTEL BANGKOK 3 FEBRUARY 1989 E & OE PROOF ONLY
2006-06-02,22309,,"Howard, John",Interview,,"Interview with John Laws Radio 2UE, Sydney"
1986-06-11,6952,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00006952.pdf,"Hawke, Robert",Interview,,TRANSCRIPT OF INTERVIEW WITH TERRY WILLESEE - 11 JUNE 1986
1989-02-13,7494,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00007494.pdf,"Hawke, Robert",Media Release,,UNKNOWN
1963-05-16,739,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00000739.pdf,"Menzies, Robert",Statement in Parliament,,"NORTH - WEST GAPE NAVAL COMMUNICATION STATION AGREEMENT WITH U.S  STATEMENT BY THE PRIME MINISTER THE RT. HON. SIR ROBERT MENZIES IN THE HOUSE OF REPRESEN - TATIVES ON THURSDAY 16TH MAY, 1963"
2011-08-19,18081,,"Gillard, Julia",Media Release,,COAG delivers key step for national disability insurance scheme
2005-02-01,21600,,"Howard, John",Media Release,,"Visit to Banda Aceh, Indonesia"
1980-03-02,5283,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00005283.pdf,"Fraser, Malcolm",Media Release,,ELECTORATE TALK
2004-03-16,21166,,"Howard, John",Speech,,"Address at the Official Opening of the New and Renovated Glynde Aged Care Facility Glynde, South Australia"
